Id,Heating,HeatingQC,CentralAir,Electrical,FstFlrSF,SecFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
52,GasA,TA,Y,SBrkr,816,0,360,1176,0,0,1,0,3,1,TA,6,Typ,1,Gd,0,NA,MnPrv,Shed,400,9,2006,WD,Normal,114500
53,GasA,TA,N,SBrkr,816,0,0,816,1,0,1,0,2,1,TA,5,Typ,0,NA,0,NA,NA,NA,0,5,2010,WD,Normal,110000
54,GasA,Gd,Y,SBrkr,1842,0,0,1842,2,0,0,1,0,1,Gd,5,Typ,1,Gd,0,NA,NA,NA,0,11,2006,WD,Normal,385000
55,GasA,TA,Y,SBrkr,1360,0,0,1360,0,0,1,0,3,1,TA,6,Min1,1,TA,0,NA,MnPrv,NA,0,2,2007,WD,Normal,130000
56,GasA,Gd,Y,SBrkr,1425,0,0,1425,0,0,2,0,3,1,TA,7,Typ,1,Gd,0,NA,NA,NA,0,7,2008,WD,Normal,180500
57,GasA,Ex,Y,SBrkr,983,756,0,1739,1,0,2,1,3,1,Gd,7,Typ,0,NA,0,NA,NA,NA,0,8,2009,WD,Abnorml,172500
58,GasA,Ex,Y,SBrkr,860,860,0,1720,0,0,2,1,3,1,Gd,7,Typ,0,NA,0,NA,NA,NA,0,8,2006,WD,Normal,196500
59,GasA,Ex,Y,SBrkr,1426,1519,0,2945,0,0,3,1,3,1,Gd,10,Typ,1,Gd,0,NA,NA,NA,0,10,2006,New,Partial,438780
60,GasA,Ex,Y,SBrkr,780,0,0,780,0,0,1,0,2,1,TA,4,Typ,0,NA,0,NA,MnPrv,NA,0,1,2008,WD,Normal,124900
61,GasA,Ex,Y,SBrkr,1158,0,0,1158,1,0,1,1,3,1,Gd,5,Typ,0,NA,0,NA,NA,NA,0,5,2006,New,Partial,158000
62,GasA,TA,N,SBrkr,581,530,0,1111,0,0,1,0,3,1,Fa,6,Typ,0,NA,0,NA,NA,NA,0,3,2007,WD,Normal,101000
63,GasA,Ex,Y,SBrkr,1370,0,0,1370,0,0,2,0,2,1,Gd,6,Typ,1,Gd,0,NA,NA,NA,0,10,2007,WD,Normal,202500
64,GasA,Gd,Y,SBrkr,902,808,0,1710,0,0,2,0,3,1,TA,9,Typ,0,NA,0,NA,GdPrv,NA,0,4,2010,WD,Normal,140000
65,GasA,Ex,Y,SBrkr,1057,977,0,2034,1,0,2,1,3,1,Gd,8,Typ,0,NA,0,NA,GdPrv,NA,0,2,2009,WD,Normal,219500
66,GasA,Ex,Y,SBrkr,1143,1330,0,2473,0,0,2,1,4,1,Gd,9,Typ,1,Gd,0,NA,NA,NA,0,10,2007,WD,Normal,317000
67,GasA,TA,Y,SBrkr,2207,0,0,2207,1,0,2,0,3,1,TA,7,Min1,1,Gd,0,NA,NA,NA,0,7,2010,WD,Normal,180000
68,GasA,Ex,Y,SBrkr,1479,0,0,1479,1,0,2,0,3,1,Gd,7,Typ,0,NA,0,NA,NA,NA,0,6,2007,WD,Normal,226000
69,GasA,TA,Y,SBrkr,747,0,0,747,0,0,1,0,2,1,TA,4,Typ,0,NA,0,NA,NA,NA,0,6,2010,WD,Normal,80000
70,GasW,TA,Y,SBrkr,1304,983,0,2287,0,0,2,0,3,1,TA,7,Typ,1,TA,0,NA,NA,NA,0,7,2006,WD,Normal,225000
71,GasA,Ex,Y,SBrkr,2223,0,0,2223,1,0,2,0,3,1,TA,8,Typ,2,Gd,0,NA,NA,NA,0,2,2007,WD,Normal,244000
72,GasA,TA,Y,SBrkr,845,0,0,845,1,0,1,0,2,1,TA,4,Typ,0,NA,0,NA,NA,NA,0,6,2007,WD,Normal,129500
73,GasA,Gd,Y,SBrkr,885,833,0,1718,0,0,2,1,3,1,TA,7,Typ,1,TA,0,NA,NA,NA,0,12,2009,WD,Normal,185000
74,GasA,Gd,Y,SBrkr,1086,0,0,1086,1,0,1,0,3,1,TA,6,Typ,0,NA,0,NA,GdWo,NA,0,5,2010,WD,Normal,144900
75,GasA,Gd,N,SBrkr,840,765,0,1605,0,0,2,0,3,2,TA,8,Typ,0,NA,0,NA,NA,NA,0,5,2010,WD,Normal,107400
76,GasA,TA,Y,SBrkr,526,462,0,988,1,0,1,0,2,1,TA,5,Typ,0,NA,0,NA,GdWo,NA,0,11,2009,WD,Normal,91000
77,GasA,Ex,Y,FuseA,952,0,0,952,0,0,1,0,2,1,TA,4,Typ,0,NA,0,NA,NA,NA,0,4,2008,WD,Normal,135750
78,GasA,TA,Y,SBrkr,1072,213,0,1285,1,0,1,0,2,1,TA,6,Min1,0,NA,0,NA,MnPrv,NA,0,1,2008,WD,Normal,127000
79,GasA,TA,N,SBrkr,1768,0,0,1768,0,0,2,0,4,2,TA,8,Typ,0,NA,0,NA,NA,NA,0,4,2010,WD,Normal,136500
80,GasA,Gd,Y,SBrkr,682,548,0,1230,0,0,1,1,2,1,TA,5,Typ,0,NA,0,NA,MnPrv,NA,0,5,2009,WD,Normal,110000
81,GasA,TA,Y,SBrkr,1182,960,0,2142,0,0,2,1,4,1,Gd,8,Typ,1,Gd,0,NA,NA,NA,0,6,2009,WD,Normal,193500
82,GasA,Ex,Y,SBrkr,1337,0,0,1337,1,0,2,0,2,1,TA,5,Typ,0,NA,0,NA,NA,NA,0,3,2006,WD,Normal,153500
83,GasA,Ex,Y,SBrkr,1563,0,0,1563,0,0,2,0,3,1,Gd,6,Typ,1,Gd,0,NA,NA,NA,0,10,2008,WD,Normal,245000
84,GasA,Gd,Y,SBrkr,1065,0,0,1065,0,0,1,1,3,1,TA,6,Typ,0,NA,0,NA,NA,NA,0,7,2007,COD,Normal,126500
85,GasA,Gd,Y,SBrkr,804,670,0,1474,0,0,2,1,3,1,TA,7,Typ,1,TA,0,NA,NA,Shed,700,5,2009,WD,Normal,168500
86,GasA,Ex,Y,SBrkr,1301,1116,0,2417,0,0,2,1,4,1,Gd,9,Typ,1,TA,0,NA,NA,NA,0,4,2006,WD,Normal,260000
87,GasA,Ex,Y,SBrkr,684,876,0,1560,0,0,2,1,3,1,Gd,6,Typ,1,Gd,0,NA,NA,NA,0,3,2009,WD,Normal,174000
88,GasA,Ex,Y,SBrkr,612,612,0,1224,0,0,2,1,2,1,Gd,4,Typ,0,NA,0,NA,NA,NA,0,6,2009,New,Partial,164500
89,GasA,TA,N,SBrkr,1013,0,513,1526,0,0,1,0,2,1,Fa,6,Typ,0,NA,0,NA,MnPrv,NA,0,10,2009,ConLD,Abnorml,85000
90,GasA,Ex,Y,SBrkr,990,0,0,990,1,0,1,0,3,1,TA,5,Typ,0,NA,0,NA,NA,NA,0,8,2007,WD,Normal,123600
91,GasA,TA,Y,FuseA,1040,0,0,1040,0,0,1,0,2,1,TA,4,Typ,0,NA,0,NA,NA,NA,0,7,2006,WD,Normal,109900
92,GasA,TA,Y,SBrkr,1235,0,0,1235,0,0,1,0,2,1,TA,6,Typ,0,NA,0,NA,GdWo,NA,0,12,2006,WD,Abnorml,98600
93,GasA,Ex,Y,SBrkr,964,0,0,964,1,0,1,0,2,1,TA,5,Typ,0,NA,0,NA,NA,NA,0,8,2009,WD,Normal,163500
94,GasW,Ex,N,SBrkr,1260,1031,0,2291,0,1,2,0,4,2,TA,9,Typ,1,Gd,0,NA,NA,NA,0,11,2007,WD,Normal,133900
95,GasA,Ex,Y,SBrkr,905,881,0,1786,1,0,2,1,3,1,Gd,7,Typ,0,NA,0,NA,NA,NA,0,5,2007,WD,Normal,204750
96,GasA,Gd,Y,SBrkr,680,790,0,1470,0,0,2,1,3,1,TA,6,Typ,1,TA,0,NA,NA,Shed,480,4,2009,WD,Normal,185000
97,GasA,Ex,Y,SBrkr,1588,0,0,1588,0,0,2,0,3,1,Gd,6,Typ,0,NA,0,NA,NA,NA,0,8,2006,WD,Normal,214000
98,GasA,TA,Y,FuseF,960,0,0,960,1,0,1,0,3,1,TA,6,Typ,0,NA,0,NA,NA,NA,0,5,2007,WD,Normal,94750
99,GasA,Fa,N,SBrkr,835,0,0,835,0,0,1,0,2,1,TA,5,Typ,0,NA,0,NA,NA,Shed,400,5,2010,COD,Abnorml,83000
100,GasA,Fa,Y,SBrkr,1225,0,0,1225,1,0,1,1,3,1,TA,6,Typ,0,NA,0,NA,NA,Shed,400,1,2010,WD,Normal,128950
101,GasA,Gd,Y,SBrkr,1610,0,0,1610,1,0,2,0,3,1,Gd,6,Typ,2,TA,0,NA,NA,NA,0,2,2010,WD,Normal,205000
102,GasA,TA,Y,SBrkr,977,755,0,1732,0,0,2,1,3,1,Gd,7,Typ,1,TA,0,NA,NA,NA,0,6,2010,WD,Normal,178000
103,GasA,TA,Y,SBrkr,1535,0,0,1535,0,0,2,0,4,2,TA,8,Typ,0,NA,0,NA,NA,NA,0,6,2009,WD,Alloca,118964
104,GasA,Ex,Y,SBrkr,1226,0,0,1226,0,0,2,0,3,1,Gd,6,Typ,0,NA,0,NA,NA,NA,0,5,2010,WD,Normal,198900
105,GasA,Ex,Y,FuseF,1226,592,0,1818,0,0,1,1,4,1,TA,7,Typ,2,TA,0,NA,NA,NA,0,6,2007,WD,Normal,169500
106,GasA,Ex,Y,SBrkr,1053,939,0,1992,0,0,2,1,3,1,Gd,9,Typ,1,Gd,0,NA,NA,NA,0,8,2008,WD,Normal,250000
107,GasA,Gd,Y,SBrkr,1047,0,0,1047,0,0,1,0,2,1,TA,6,Typ,0,NA,0,NA,NA,Shed,450,8,2007,WD,Normal,100000
108,GasA,Ex,Y,SBrkr,789,0,0,789,0,0,1,0,2,1,TA,5,Typ,0,NA,0,NA,NA,NA,0,4,2008,WD,Partial,115000
109,GasW,TA,N,FuseF,997,520,0,1517,0,0,2,0,3,1,Fa,7,Typ,0,NA,0,NA,NA,NA,0,8,2007,WD,Normal,115000
110,GasA,Ex,Y,SBrkr,1844,0,0,1844,0,0,2,0,3,1,TA,7,Typ,1,TA,0,NA,MnPrv,NA,0,1,2010,COD,Normal,190000
111,GasA,Gd,Y,SBrkr,1216,639,0,1855,0,0,2,0,4,1,TA,7,Typ,0,NA,0,NA,NA,NA,0,10,2006,WD,Normal,136900
112,GasA,Ex,Y,SBrkr,774,656,0,1430,0,0,2,1,3,1,TA,7,Typ,1,TA,0,NA,NA,NA,0,4,2010,WD,Normal,180000
113,GasA,Ex,Y,SBrkr,1282,1414,0,2696,1,0,2,1,4,1,Ex,10,Typ,1,Gd,0,NA,NA,NA,0,10,2007,New,Partial,383970
114,GasA,TA,Y,SBrkr,2259,0,0,2259,1,0,2,0,3,1,Gd,7,Typ,2,Gd,0,NA,MnPrv,NA,0,10,2007,COD,Abnorml,217000
115,GasA,Ex,Y,SBrkr,1436,884,0,2320,1,0,2,1,3,1,Gd,9,Typ,1,TA,0,NA,MnPrv,NA,0,7,2007,WD,Normal,259500
116,GasA,Gd,Y,SBrkr,729,729,0,1458,0,0,2,1,2,1,TA,5,Typ,1,Fa,0,NA,NA,NA,0,6,2007,WD,Normal,176000
117,GasA,TA,Y,SBrkr,1092,0,0,1092,0,1,1,0,3,1,TA,6,Typ,1,Po,0,NA,NA,NA,0,9,2009,WD,Normal,139000
118,GasA,Gd,Y,SBrkr,1125,0,0,1125,0,0,1,1,2,1,TA,5,Typ,0,NA,0,NA,NA,NA,0,4,2007,New,Partial,155000
119,GasA,Gd,Y,SBrkr,1699,1523,0,3222,1,0,3,0,5,1,Gd,11,Typ,2,TA,0,NA,NA,NA,0,5,2010,WD,Normal,320000
120,GasA,Ex,Y,SBrkr,728,728,0,1456,0,0,2,1,3,1,Gd,8,Typ,1,Gd,0,NA,NA,NA,0,7,2006,New,Partial,163990
121,GasA,Ex,Y,SBrkr,988,0,0,988,1,0,1,0,1,1,TA,4,Typ,2,TA,0,NA,NA,NA,0,10,2006,WD,Normal,180000
122,GasA,Gd,Y,SBrkr,772,351,0,1123,0,0,1,0,3,1,TA,4,Typ,0,NA,0,NA,MnPrv,NA,0,6,2007,WD,Normal,100000
123,GasA,Gd,Y,SBrkr,1080,0,0,1080,0,0,1,0,3,1,TA,5,Typ,0,NA,0,NA,NA,NA,0,6,2008,WD,Normal,136000
124,GasA,Ex,Y,SBrkr,1199,0,0,1199,0,0,2,0,2,1,Gd,5,Typ,0,NA,0,NA,NA,NA,0,3,2008,WD,Normal,153900
125,GasA,TA,Y,SBrkr,1586,0,0,1586,0,0,2,0,3,1,TA,7,Typ,1,TA,0,NA,NA,NA,0,1,2009,WD,Normal,181000
126,GasA,Gd,N,SBrkr,520,0,234,754,1,0,1,0,2,1,TA,5,Typ,0,NA,0,NA,NA,NA,0,6,2006,WD,Normal,84500
127,GasA,TA,Y,SBrkr,958,0,0,958,0,0,2,0,2,1,TA,5,Typ,1,TA,0,NA,NA,NA,0,2,2007,WD,Normal,128000
128,GasA,Ex,Y,SBrkr,840,0,0,840,0,0,1,0,3,1,TA,5,Typ,1,TA,0,NA,NA,NA,0,6,2007,WD,Normal,87000
129,GasA,TA,Y,SBrkr,660,688,0,1348,0,0,1,1,3,1,TA,6,Typ,1,Fa,0,NA,NA,NA,0,7,2006,WD,Normal,155000
130,GasA,TA,Y,FuseA,1053,0,0,1053,0,1,1,1,3,1,Ex,6,Typ,0,NA,0,NA,MnWw,NA,0,7,2006,WD,Abnorml,150000
131,GasA,Ex,Y,SBrkr,1216,941,0,2157,0,0,2,1,4,1,Gd,8,Typ,2,Gd,0,NA,GdPrv,NA,0,5,2006,WD,Normal,226000
132,GasA,Ex,Y,SBrkr,1022,1032,0,2054,1,0,2,1,3,1,Gd,7,Typ,1,TA,0,NA,NA,NA,0,7,2009,WD,Normal,244000
133,GasA,Gd,Y,SBrkr,1327,0,0,1327,1,0,1,0,3,1,Gd,7,Typ,0,NA,0,NA,NA,NA,0,7,2007,WD,Normal,150750
134,GasA,Ex,Y,SBrkr,1296,0,0,1296,1,0,2,0,2,1,Gd,6,Typ,0,NA,0,NA,NA,NA,0,6,2009,WD,Normal,220000
135,GasA,Gd,Y,SBrkr,1721,0,0,1721,0,0,2,1,3,1,TA,7,Min1,1,TA,0,NA,MnPrv,NA,0,7,2006,WD,Normal,180000
136,GasA,Gd,Y,SBrkr,1682,0,0,1682,0,0,2,0,3,1,TA,7,Typ,1,Gd,0,NA,MnPrv,NA,0,5,2008,WD,Normal,174000
137,GasA,TA,Y,SBrkr,1214,0,0,1214,0,0,2,0,3,1,TA,5,Typ,1,Fa,0,NA,NA,NA,0,7,2007,WD,Normal,143000
138,GasA,Gd,Y,SBrkr,1959,0,0,1959,0,0,3,0,5,2,TA,9,Typ,0,NA,0,NA,NA,NA,0,7,2006,WD,Family,171000
139,GasA,Ex,Y,SBrkr,1004,848,0,1852,0,0,2,1,3,1,Gd,7,Typ,2,TA,0,NA,GdPrv,NA,0,12,2008,WD,Normal,230000
140,GasA,Ex,Y,SBrkr,928,836,0,1764,1,0,2,1,3,1,Gd,7,Typ,0,NA,0,NA,MnPrv,NA,0,8,2009,WD,Normal,231500
141,GasA,TA,Y,SBrkr,864,0,0,864,0,0,1,0,3,1,TA,5,Typ,1,Po,0,NA,NA,NA,0,4,2010,ConLI,Normal,115000
142,GasA,Ex,Y,SBrkr,1734,0,0,1734,1,0,2,0,3,1,Gd,7,Typ,0,NA,0,NA,NA,NA,0,1,2006,WD,Normal,260000
143,GasA,Fa,Y,SBrkr,910,475,0,1385,0,0,2,0,4,1,TA,6,Typ,0,NA,0,NA,MnPrv,NA,0,6,2010,WD,Normal,166000
144,GasA,Ex,Y,SBrkr,1501,0,0,1501,1,0,2,0,3,1,Gd,6,Typ,0,NA,0,NA,NA,NA,0,6,2009,WD,Normal,204000
145,GasA,TA,Y,SBrkr,1728,0,0,1728,1,0,2,0,6,2,TA,10,Typ,0,NA,0,NA,NA,NA,0,11,2006,ConLI,Abnorml,125000
146,GasA,Ex,Y,SBrkr,970,739,0,1709,0,0,2,0,3,1,Gd,7,Maj1,0,NA,0,NA,NA,NA,0,4,2006,WD,Normal,130000
147,GasA,TA,Y,FuseA,875,0,0,875,1,0,1,0,2,1,TA,5,Typ,0,NA,0,NA,NA,NA,0,11,2009,WD,Normal,105000
148,GasA,Ex,Y,SBrkr,884,1151,0,2035,0,0,2,1,3,1,Gd,8,Typ,1,Gd,0,NA,NA,NA,0,5,2010,WD,Normal,222500
149,GasA,Ex,Y,SBrkr,1080,0,0,1080,1,0,1,0,3,1,Gd,6,Typ,0,NA,0,NA,NA,NA,0,4,2008,WD,Normal,141000
150,GasA,Gd,Y,FuseA,896,448,0,1344,0,0,1,0,3,1,TA,7,Typ,0,NA,0,NA,NA,NA,0,4,2006,WD,Normal,115000
151,GasA,TA,Y,SBrkr,969,0,0,969,0,0,1,1,3,1,TA,5,Typ,0,NA,0,NA,MnPrv,NA,0,1,2007,WD,Normal,122000
152,GasA,Ex,Y,SBrkr,1710,0,0,1710,1,0,2,0,2,1,Gd,6,Typ,1,Gd,0,NA,NA,NA,0,1,2008,New,Partial,372402
153,GasA,Gd,Y,SBrkr,1097,896,0,1993,0,0,2,1,4,1,TA,8,Typ,1,Gd,0,NA,GdWo,NA,0,6,2006,WD,Normal,190000
154,GasA,Gd,Y,SBrkr,1252,0,0,1252,1,0,1,0,1,1,TA,4,Typ,1,Gd,0,NA,NA,NA,0,3,2008,WD,Normal,235000
155,GasA,TA,Y,FuseA,1200,0,0,1200,0,0,1,0,4,1,TA,7,Typ,0,NA,0,NA,NA,NA,0,3,2006,WD,Family,125000
156,Grav,Fa,N,FuseF,572,524,0,1096,0,0,1,0,2,1,TA,5,Typ,0,NA,0,NA,NA,NA,0,4,2008,WD,Normal,79000
157,GasA,TA,Y,FuseF,1040,0,0,1040,0,0,1,0,2,1,TA,5,Typ,0,NA,0,NA,NA,NA,0,6,2006,WD,Normal,109500
158,GasA,Ex,Y,SBrkr,774,1194,0,1968,0,0,2,1,4,1,Ex,8,Typ,1,Gd,0,NA,NA,NA,0,5,2010,New,Partial,269500
159,GasA,Ex,Y,SBrkr,991,956,0,1947,0,0,2,1,3,1,Gd,8,Typ,1,Gd,0,NA,GdWo,NA,0,5,2010,WD,Normal,254900
160,GasA,Ex,Y,SBrkr,1392,1070,0,2462,1,0,2,1,4,1,Gd,9,Typ,1,Gd,0,NA,NA,NA,0,3,2006,New,Partial,320000
161,GasA,TA,Y,SBrkr,1232,0,0,1232,0,0,2,0,3,1,TA,6,Typ,0,NA,0,NA,NA,NA,0,6,2008,WD,Normal,162500
162,GasA,Ex,Y,SBrkr,1572,1096,0,2668,1,0,2,1,3,1,Ex,10,Typ,2,Gd,0,NA,NA,NA,0,3,2008,WD,Normal,412500
