Id,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd
33,Norm,Norm,1Fam,1Story,8,5,2007,2007
34,Norm,Norm,1Fam,1Story,5,5,1959,1959
35,Norm,Norm,TwnhsE,1Story,9,5,2005,2005
36,Norm,Norm,1Fam,2Story,8,5,2004,2005
37,Norm,Norm,1Fam,1Story,5,5,1994,1995
38,Norm,Norm,1Fam,1Story,5,6,1954,1990
39,Norm,Norm,1Fam,1Story,5,7,1953,2007
40,Norm,Norm,Duplex,1Story,4,5,1955,1955
41,Norm,Norm,1Fam,1Story,6,5,1965,1965
42,Norm,Norm,1Fam,1Story,5,6,1959,1959
43,Norm,Norm,1Fam,SFoyer,5,7,1983,1983
44,Norm,Norm,1Fam,1Story,5,6,1975,1980
45,Norm,Norm,1Fam,1Story,5,6,1959,1959
46,Norm,Norm,TwnhsE,1Story,9,5,2005,2005
47,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003
48,Norm,Norm,1Fam,1Story,8,5,2006,2006
49,Norm,Norm,2fmCon,2Story,4,5,1920,2008
50,Norm,Norm,1Fam,1Story,5,7,1966,1966
51,Norm,Norm,1Fam,2Story,6,6,1997,1997
52,Norm,Norm,1Fam,1.5Fin,6,6,1934,1950
53,RRNn,Norm,Duplex,1Story,5,5,1963,1963
54,Norm,Norm,1Fam,1Story,9,5,1981,1987
55,Norm,Norm,1Fam,SLvl,5,5,1955,1955
56,Norm,Norm,1Fam,1Story,6,5,1964,1964
57,Norm,Norm,Twnhs,2Story,8,5,1999,2000
58,Norm,Norm,1Fam,2Story,7,5,2004,2004
59,Norm,Norm,1Fam,2Story,10,5,2006,2006
60,Norm,Norm,1Fam,1Story,5,7,1972,1972
61,RRAe,Norm,1Fam,1Story,6,5,2004,2004
62,Norm,Norm,1Fam,2.5Unf,5,7,1920,1996
63,Norm,Norm,TwnhsE,1Story,8,5,2006,2006
64,RRAn,Feedr,1Fam,2Story,7,6,1921,1950
65,Norm,Norm,1Fam,2Story,7,5,1997,1998
66,Norm,Norm,1Fam,2Story,8,5,2004,2005
67,PosA,Norm,1Fam,1Story,7,5,1970,1989
68,Norm,Norm,1Fam,1Story,7,5,2003,2003
69,Artery,Norm,1Fam,1Story,4,6,1945,1950
70,Norm,Norm,1Fam,1.5Fin,7,4,1953,1953
71,Norm,Norm,1Fam,1Story,7,6,1973,1973
72,Norm,Norm,1Fam,1Story,4,6,1982,2006
73,Norm,Norm,1Fam,2Story,7,5,1998,1998
74,Norm,Norm,1Fam,1Story,5,7,1954,2003
75,Norm,Norm,1Fam,2Story,3,6,1915,1950
76,Norm,Norm,Twnhs,SLvl,4,5,1973,1973
77,Norm,Norm,1Fam,1Story,4,7,1956,1956
78,Norm,Norm,1Fam,1.5Fin,5,5,1948,2001
79,Norm,Norm,Duplex,1Story,4,5,1968,1968
80,Norm,Norm,1Fam,2Story,5,6,1910,1981
81,Norm,Norm,1Fam,2Story,6,6,1968,1968
82,Norm,Norm,TwnhsE,1Story,6,5,1998,1998
83,Norm,Norm,1Fam,1Story,8,5,2007,2007
84,Norm,Norm,1Fam,1Story,5,5,1960,1960
85,Norm,Norm,1Fam,SLvl,7,5,1995,1996
86,Norm,Norm,1Fam,2Story,8,5,1991,1992
87,Norm,Norm,1Fam,2Story,6,5,2005,2005
88,Norm,Norm,TwnhsE,2Story,6,5,2009,2009
89,Feedr,Feedr,1Fam,1.5Fin,3,2,1915,1982
90,Norm,Norm,1Fam,1Story,4,5,1994,1995
91,Norm,Norm,1Fam,1Story,4,5,1950,1950
92,Norm,Norm,1Fam,1Story,5,3,1961,1961
93,Norm,Norm,1Fam,1Story,5,7,1921,2006
94,Norm,Norm,2fmCon,2.5Unf,6,6,1910,1998
95,Norm,Norm,1Fam,2Story,6,5,1997,1997
96,Norm,Norm,1Fam,2Story,6,8,1993,1993
97,Norm,Norm,1Fam,1Story,7,5,1999,1999
98,Norm,Norm,1Fam,1Story,4,5,1965,1965
99,Norm,Norm,1Fam,1Story,5,5,1920,1950
100,Norm,Norm,1Fam,1Story,4,5,1959,1959
101,Norm,Norm,1Fam,1Story,6,7,1977,2001
102,Norm,Norm,1Fam,2Story,6,5,1985,1985
103,Norm,Norm,Duplex,1Story,5,5,1979,1979
104,Norm,Norm,1Fam,1Story,7,5,2009,2009
105,Norm,Norm,1Fam,1.5Fin,7,4,1931,1950
106,Norm,Norm,1Fam,2Story,8,5,2003,2004
107,Norm,Norm,1Fam,1Story,4,7,1885,1995
108,Norm,Norm,1Fam,1Story,5,5,1948,1950
109,Artery,Norm,1Fam,1.5Fin,5,7,1919,2005
110,Norm,Norm,1Fam,1Story,6,6,1977,1977
111,Norm,Norm,1Fam,1.5Fin,6,4,1954,1972
112,Norm,Norm,1Fam,SLvl,7,5,2000,2000
113,Norm,Norm,1Fam,2Story,7,5,2007,2007
114,Norm,Norm,1Fam,1Story,6,5,1953,1953
115,Norm,Norm,1Fam,2Story,6,8,1945,2002
116,Norm,Norm,TwnhsE,2Story,6,5,1999,1999
117,Norm,Norm,1Fam,1Story,5,5,1962,1962
118,Norm,Norm,1Fam,1Story,5,5,2006,2007
119,Norm,Norm,1Fam,2Story,7,5,1990,1990
120,Norm,Norm,1Fam,2Story,6,5,2005,2006
121,Norm,Norm,1Fam,SLvl,6,5,1969,1969
122,Norm,Norm,1Fam,1.5Fin,4,5,1939,1950
123,Norm,Norm,1Fam,1Story,6,7,1958,1958
124,Norm,Norm,TwnhsE,1Story,6,5,1993,1993
125,Norm,Norm,1Fam,1Story,6,5,1979,1998
126,Norm,Norm,2fmCon,1.5Fin,6,8,1935,1982
127,Norm,Norm,TwnhsE,1Story,6,5,1976,1976
128,Feedr,Norm,1Fam,1.5Unf,5,7,1930,1950
129,PosN,Norm,1Fam,2Story,6,5,1966,1966
130,Norm,Norm,1Fam,1Story,5,7,1958,1991
131,Norm,Norm,1Fam,2Story,7,6,1966,1966
132,Norm,Norm,1Fam,2Story,6,5,2000,2000
133,Norm,Norm,1Fam,1Story,5,6,1959,2002
134,Norm,Norm,1Fam,1Story,8,5,2001,2002
135,Norm,Norm,1Fam,1Story,5,6,1968,1993
136,Norm,Norm,1Fam,1Story,7,6,1970,1970
137,Norm,Norm,1Fam,1Story,5,5,1967,1967
138,Norm,Norm,Duplex,1Story,7,5,1988,1989
139,Norm,Norm,1Fam,2Story,8,5,1999,2000
140,Norm,Norm,1Fam,2Story,6,5,1997,1997
141,Norm,Norm,1Fam,1Story,4,5,1971,1971
142,Norm,Norm,1Fam,1Story,7,5,2005,2005
143,Artery,Norm,1Fam,1.5Fin,5,4,1952,1952
144,Norm,Norm,1Fam,1Story,7,5,1999,1999
145,RRAe,Norm,Duplex,1Story,5,5,1963,1963
146,Norm,Norm,Twnhs,2Story,6,5,2004,2006
147,Norm,Norm,1Fam,1Story,5,7,1931,1993
148,Norm,Norm,1Fam,2Story,7,5,2001,2001
149,Norm,Norm,1Fam,1Story,7,5,2004,2005
150,Norm,Norm,1Fam,1.5Fin,5,4,1936,1950
151,Norm,Norm,1Fam,1Story,5,6,1975,1975
152,Norm,Norm,1Fam,1Story,8,5,2007,2008
153,Norm,Norm,1Fam,2Story,6,5,1971,1971
154,Norm,Norm,1Fam,1Story,6,7,1960,1975
155,Norm,Norm,1Fam,1Story,6,5,1923,1950
156,Artery,Norm,1Fam,1.5Fin,6,5,1924,1950
157,Norm,Norm,1Fam,1Story,5,7,1950,1950
158,Norm,Norm,1Fam,2Story,8,5,2009,2010
159,Norm,Norm,1Fam,2Story,7,5,2004,2005
160,Norm,Norm,1Fam,2Story,7,5,2005,2006
161,Norm,Norm,1Fam,1Story,6,6,1984,1984
162,Norm,Norm,1Fam,2Story,9,5,2003,2004
163,Norm,Norm,1Fam,1Story,7,5,2005,2005
164,Norm,Norm,1Fam,1.5Unf,4,6,1956,1956
165,Norm,Norm,1Fam,1Story,6,7,1926,2004
166,Norm,Norm,2fmCon,1.5Fin,5,7,1940,1999
167,Norm,Norm,1Fam,1Story,5,5,1955,1993
168,Norm,Norm,1Fam,2Story,8,5,2007,2007
169,Norm,Norm,1Fam,2Story,7,5,2004,2004
170,Norm,Norm,1Fam,1Story,8,6,1981,1981
171,Feedr,Norm,1Fam,1.5Fin,5,6,1941,1950
172,Norm,Norm,1Fam,1Story,6,5,1960,1960
173,Norm,Norm,TwnhsE,2Story,7,7,1987,1987
174,Norm,Norm,1Fam,1Story,6,5,1961,1961
175,Norm,Norm,1Fam,1Story,6,5,1986,1986
176,Norm,Norm,1Fam,1Story,6,7,1950,2001
177,Norm,Norm,1Fam,2Story,6,5,1988,1989
178,Norm,Norm,1Fam,1.5Fin,5,5,1958,1958
179,Norm,Norm,1Fam,1Story,9,5,2008,2009
180,Norm,Norm,1Fam,1Story,5,6,1923,2006
181,Norm,Norm,Twnhs,2Story,6,5,2000,2000
182,Norm,Norm,1Fam,2Story,7,6,1920,1950
183,Artery,Norm,1Fam,1Story,5,6,1957,2006
184,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003
185,RRAn,Feedr,1Fam,1.5Fin,5,8,1908,1991
186,Artery,Norm,1Fam,2.5Fin,10,9,1892,1993
187,Norm,Norm,1Fam,SLvl,7,5,1990,1991
188,Norm,Norm,1Fam,1.5Fin,5,7,1916,1987
189,Feedr,Norm,Duplex,SFoyer,5,5,1979,1979
190,Norm,Norm,TwnhsE,1Story,8,5,2001,2002
191,Norm,Norm,1Fam,2Story,8,8,1932,1994
192,Norm,Norm,1Fam,2Story,7,9,1972,2004
193,Norm,Norm,1Fam,1Story,7,5,1999,1999
194,Norm,Norm,Twnhs,2Story,7,5,2004,2004
195,Norm,Norm,1Fam,1Story,5,7,1972,1972
196,Norm,Norm,Twnhs,2Story,6,6,1976,1976
197,Norm,Norm,1Fam,1Story,7,5,2007,2007
198,Artery,Norm,1Fam,2Story,8,4,1918,1990
199,Norm,Norm,1Fam,2.5Fin,6,6,1912,1950
200,Norm,Norm,1Fam,1Story,8,5,2004,2005
201,Norm,Norm,1Fam,1Story,4,5,2003,2004
202,Norm,Norm,1Fam,1Story,6,6,1977,1977
203,Artery,Norm,1Fam,1.5Fin,6,6,1924,1950
204,Norm,Norm,TwnhsE,1Story,6,5,2004,2004
205,Norm,Norm,1Fam,1.5Fin,5,7,1947,1950
206,Norm,Norm,1Fam,1Story,7,5,1990,1990
207,RRAe,Norm,1Fam,1Story,5,5,1962,1962
208,Norm,Norm,1Fam,1Story,4,5,1960,1960
209,Norm,Norm,1Fam,2Story,7,5,1988,1989
210,Norm,Norm,1Fam,1Story,6,7,1964,1964
211,Norm,Norm,1Fam,1Story,5,6,1925,1950
212,Norm,Norm,1Fam,1Story,6,5,2009,2009
213,Norm,Norm,1Fam,2Story,7,5,2009,2009
214,Norm,Norm,1Fam,1Story,5,5,1995,1995
215,Norm,Norm,1Fam,2Story,6,7,1977,1977
216,Norm,Norm,1Fam,1Story,5,6,1957,1996
217,Norm,Norm,1Fam,1Story,7,5,2004,2004
218,Norm,Norm,1Fam,2Story,4,4,1925,1950
219,Norm,Norm,1Fam,1.5Fin,7,9,1939,2006
220,Norm,Norm,TwnhsE,1Story,7,5,2005,2006
221,Norm,Norm,1Fam,1Story,7,5,2006,2006
222,Norm,Norm,1Fam,2Story,6,5,2002,2002
223,RRAn,Norm,1Fam,2Story,6,6,1975,1975
224,Norm,Norm,1Fam,1Story,4,6,1971,1971
225,Norm,Norm,1Fam,1Story,10,5,2003,2003
226,Norm,Norm,Twnhs,2Story,5,5,1971,1971
227,Norm,Norm,1Fam,2Story,7,5,1995,1995
228,Norm,Norm,Twnhs,2Story,6,6,1970,1970
229,Feedr,Norm,1Fam,1Story,5,5,1967,1967
230,Norm,Norm,TwnhsE,1Story,7,5,2005,2006
231,Norm,Norm,1Fam,1Story,6,6,1959,1959
232,Norm,Norm,1Fam,2Story,8,5,1995,1996
233,Norm,Norm,Twnhs,2Story,6,5,1972,1972
234,Norm,Norm,1Fam,1Story,5,6,1976,1976
235,Norm,Norm,1Fam,2Story,6,5,2002,2002
236,Norm,Norm,TwnhsE,2Story,6,3,1971,1971
237,Norm,Norm,1Fam,1Story,7,5,2004,2004
238,RRNe,Norm,1Fam,2Story,7,7,1993,2003
239,Norm,Norm,1Fam,1Story,8,5,2007,2007
240,Norm,Norm,1Fam,1.5Fin,6,4,1945,1950
241,Norm,Norm,1Fam,1Story,8,5,2008,2008
242,Norm,Norm,1Fam,1Story,5,9,1945,1997
243,Norm,Norm,1Fam,1.5Fin,5,4,1900,1950
244,Norm,Norm,TwnhsE,2Story,6,6,1980,1980
245,Norm,Norm,1Fam,2Story,7,5,1994,2002
246,Norm,Norm,1Fam,1Story,7,5,1988,1988
247,Norm,Norm,2fmCon,2Story,6,8,1910,1950
248,Norm,Norm,1Fam,1Story,6,5,1954,1954
249,Norm,Norm,1Fam,2Story,7,5,2003,2003
250,Norm,Norm,1Fam,1.5Fin,6,7,1958,2006
251,Norm,Norm,1Fam,1Story,3,2,1940,1966
252,Norm,Norm,TwnhsE,1Story,8,5,2006,2007
253,Norm,Norm,1Fam,2Story,6,5,2004,2004
254,Norm,Norm,1Fam,SLvl,6,7,1964,1991
255,Norm,Norm,1Fam,1Story,5,6,1957,1957
256,Norm,Norm,1Fam,2Story,7,5,1999,1999
257,Norm,Norm,1Fam,2Story,6,5,2003,2003
258,Norm,Norm,1Fam,1Story,7,5,2006,2006
259,Norm,Norm,1Fam,2Story,7,5,2001,2001
260,Norm,Norm,1Fam,1Story,5,5,1956,1956
261,Artery,Norm,1Fam,SLvl,6,5,1962,1962
262,Norm,Norm,1Fam,2Story,8,5,2007,2007
263,Norm,Norm,1Fam,SLvl,6,7,1977,1995
264,Norm,Norm,1Fam,1.5Fin,5,7,1929,2001
265,Artery,Norm,1Fam,1Story,5,5,1925,2004
266,Norm,Norm,1Fam,1Story,6,6,1981,1981
267,Norm,Norm,1Fam,2Story,6,5,1997,1997
268,Norm,Norm,1Fam,2.5Fin,5,8,1939,1997
269,Norm,Norm,1Fam,1Story,5,6,1940,1955
270,Norm,Norm,1Fam,1Story,6,7,1976,1976
271,Norm,Norm,1Fam,2Story,8,5,2006,2006
272,Norm,Norm,1Fam,1Story,7,7,1954,2005
273,Norm,Norm,1Fam,2Story,8,7,1999,2007
274,Feedr,Norm,1Fam,1Story,6,6,1958,1988
275,Norm,Norm,1Fam,1Story,5,7,1982,1982
276,Norm,Norm,1Fam,1.5Fin,7,7,1925,2007
277,Norm,Norm,1Fam,1Story,7,5,2003,2003
278,Norm,Norm,1Fam,1Story,4,5,1951,1951
279,Norm,Norm,1Fam,1Story,9,5,2006,2007
280,Norm,Norm,1Fam,2Story,7,5,1977,1977
281,Norm,Norm,1Fam,2Story,7,6,1989,1989
282,Norm,Norm,1Fam,1Story,6,5,2006,2006
283,Norm,Norm,Twnhs,1Story,7,5,2007,2008
284,Feedr,Norm,1Fam,1Story,8,5,2008,2009
285,Norm,Norm,TwnhsE,1Story,6,5,1992,1992
286,Norm,Norm,TwnhsE,2Story,7,5,2006,2007
287,Norm,Norm,1Fam,1.5Fin,6,7,1962,1981
288,Norm,Norm,1Fam,1Story,4,4,1971,1971
289,Norm,Norm,1Fam,1Story,5,5,1967,1967
290,RRAn,Norm,1Fam,2Story,6,7,1915,2003
291,Norm,Norm,1Fam,2Story,8,5,2006,2006
292,Norm,Norm,2fmCon,2Story,5,6,1912,2000
293,Norm,Norm,1Fam,1.5Fin,5,4,1949,2008
294,PosA,Norm,1Fam,2Story,7,7,1977,1994
295,Norm,Norm,1Fam,1Story,6,5,1953,1953
296,Norm,Norm,1Fam,SLvl,6,6,1984,1984
297,Norm,Norm,1Fam,1.5Fin,5,5,1950,1950
298,Norm,Norm,1Fam,2Story,7,5,1997,1998
299,Norm,Norm,1Fam,2Story,6,6,1968,1968
300,Norm,Norm,1Fam,1Story,6,8,1950,2004
301,Norm,Norm,2fmCon,1Story,5,5,1953,1953
302,Norm,Norm,1Fam,2Story,8,5,1998,1999
303,Norm,Norm,1Fam,1Story,7,5,2001,2002
304,Norm,Norm,1Fam,1Story,5,7,1972,1972
305,Norm,Norm,1Fam,2.5Fin,7,9,1880,2002
306,Norm,Norm,1Fam,1Story,8,5,2004,2005
307,Feedr,Norm,1Fam,2Story,7,5,1990,1991
308,Artery,Norm,1Fam,1.5Fin,6,7,1920,1950
309,Norm,Norm,1Fam,1Story,4,5,1940,1950
310,Norm,Norm,1Fam,1Story,9,5,2003,2004
311,Norm,Norm,1Fam,2Story,6,5,1993,1994
312,Norm,Norm,1Fam,1Story,6,6,1948,2002
313,Artery,Norm,2fmCon,1.5Fin,5,7,1939,1950
314,Norm,Norm,1Fam,1Story,7,5,1965,1965
315,Norm,Norm,1Fam,2Story,7,7,1925,1990
316,Norm,Norm,1Fam,2Story,7,5,2004,2005
317,Norm,Norm,1Fam,2Story,7,7,1980,1980
318,Norm,Norm,1Fam,2Story,8,5,2006,2006
319,Norm,Norm,1Fam,2Story,7,5,1993,1993
320,Norm,Norm,1Fam,SLvl,7,5,1980,1980
321,Norm,Norm,1Fam,2Story,9,5,2006,2006
322,Norm,Norm,1Fam,2Story,8,5,2004,2004
323,Norm,Norm,1Fam,2Story,7,5,1986,1987
324,Norm,Norm,1Fam,1Story,3,8,1955,2005
325,PosN,Norm,1Fam,SLvl,7,7,1967,2007
326,RRAe,Norm,1Fam,1.5Unf,5,6,1941,1950
327,Norm,Norm,TwnhsE,1Story,8,5,1993,1993
328,Norm,Norm,1Fam,1Story,6,5,1960,1960
329,PosN,Norm,1Fam,2.5Unf,6,6,1916,1994
330,Norm,Norm,1Fam,2Story,5,5,1920,1950
331,Norm,Norm,Duplex,1Story,5,4,1964,1964
332,Norm,Norm,1Fam,1Story,5,6,1958,1992
333,Norm,Norm,1Fam,1Story,8,5,2003,2004
334,Norm,Norm,TwnhsE,1Story,7,5,2004,2004
335,Norm,Norm,1Fam,2Story,6,5,1998,1998
336,Norm,Norm,2fmCon,1.5Fin,5,6,1965,1965
337,Norm,Norm,1Fam,1Story,9,5,2005,2006
338,Norm,Norm,1Fam,1Story,7,5,2002,2003
339,Norm,Norm,1Fam,1Story,7,7,1984,1998
340,Feedr,Norm,1Fam,1Story,6,7,1958,1998
341,Norm,Norm,1Fam,2Story,8,5,2002,2002
342,Feedr,Norm,1Fam,1Story,4,4,1950,1950
343,Norm,Norm,Duplex,1Story,3,4,1949,1950
344,Norm,Norm,TwnhsE,1Story,9,5,2005,2005
345,Norm,Norm,TwnhsE,2Story,5,3,1976,1976
346,RRAn,Norm,1Fam,1.5Fin,6,5,1939,1950
347,Norm,Norm,1Fam,1Story,6,8,1960,1998
348,Norm,Norm,1Fam,1Story,6,5,1960,1960
349,Norm,Norm,Twnhs,2Story,7,5,2003,2004
350,Norm,Norm,1Fam,2Story,9,5,2005,2006
351,Norm,Norm,TwnhsE,1Story,9,5,2007,2007
352,Norm,Norm,1Fam,1Story,7,5,1986,1986
353,Artery,Norm,1Fam,1.5Fin,5,6,1941,1950
354,Norm,Norm,1Fam,1Story,6,8,1928,2003
355,Norm,Norm,1Fam,1.5Fin,6,5,1940,2000
356,Norm,Norm,1Fam,1Story,6,5,1995,1995
357,Norm,Norm,1Fam,1Story,6,6,1992,1992
358,Norm,Norm,TwnhsE,1Story,5,5,1976,1976
359,Norm,Norm,1Fam,SLvl,5,4,1958,1958
360,Norm,Norm,1Fam,2Story,8,5,1998,1998
361,Norm,Norm,1Fam,SFoyer,6,6,1978,1978
362,Norm,Norm,1Fam,1.5Fin,5,5,1940,1982
363,Norm,Norm,1Fam,SFoyer,7,5,2003,2003
364,Norm,Norm,Twnhs,2Story,6,8,1972,2007
365,Norm,Norm,1Fam,2Story,6,5,1976,1976
366,Norm,Norm,1Fam,2Story,5,7,1920,1997
367,Norm,Norm,1Fam,1Story,6,5,1963,1963
368,Norm,Norm,1Fam,SLvl,6,5,1962,1962
369,Norm,Norm,1Fam,1Story,5,6,1954,1954
370,Norm,Norm,1Fam,1Story,5,7,1959,2006
371,Norm,Norm,1Fam,2Story,6,5,2000,2000
372,Feedr,Norm,1Fam,1.5Fin,4,4,1959,1959
373,Norm,Norm,TwnhsE,1Story,6,5,1984,1984
374,Norm,Norm,1Fam,1Story,5,6,1953,1953
375,Norm,Norm,1Fam,2Story,7,5,2003,2004
376,Norm,Norm,1Fam,1Story,1,1,1922,1950
377,Norm,Norm,1Fam,SFoyer,5,5,1996,1996
378,Norm,Norm,1Fam,2Story,8,5,2004,2005
379,Norm,Norm,1Fam,1Story,9,2,2010,2010
380,RRAn,Norm,1Fam,2Story,6,5,2000,2000
381,Norm,Norm,1Fam,1.5Fin,5,6,1924,1950
382,Norm,Norm,1Fam,1Story,7,5,2006,2006
383,Norm,Norm,1Fam,2Story,7,5,2006,2006
384,Norm,Norm,1Fam,1.5Unf,6,3,1928,1950
385,Feedr,Norm,1Fam,2Story,6,5,1992,1992
386,Norm,Norm,TwnhsE,1Story,8,5,2004,2005
387,Feedr,Norm,1Fam,1.5Fin,5,3,1910,1996
388,Norm,Norm,1Fam,SLvl,6,6,1976,1976
389,Norm,Norm,1Fam,1Story,7,5,1999,2000
390,Norm,Norm,1Fam,2Story,10,5,2007,2008
391,Norm,Norm,1Fam,1.5Fin,5,8,1900,1950
392,Norm,Norm,1Fam,2Story,6,5,2001,2002
393,Norm,Norm,1Fam,1Story,5,7,1959,1959
394,Feedr,Norm,1Fam,1Story,4,5,1941,1950
395,Norm,Norm,1Fam,1.5Fin,5,6,1940,1950
396,Norm,Norm,1Fam,1Story,5,6,1956,1956
397,Norm,Norm,1Fam,1Story,5,5,1972,1972
398,PosN,Norm,1Fam,2Story,5,5,1962,1962
399,Norm,Norm,1Fam,1Story,5,2,1920,1950
400,Norm,Norm,1Fam,2Story,7,5,2006,2007
401,Norm,Norm,TwnhsE,1Story,8,5,1996,1996
402,Norm,Norm,1Fam,1Story,7,5,2005,2005
403,Norm,Norm,1Fam,1Story,5,8,1940,1997
404,Norm,Norm,1Fam,2Story,8,5,1998,1998
405,Norm,Norm,1Fam,2Story,6,5,1995,1996
406,Feedr,Norm,1Fam,1Story,4,4,1976,1993
407,Norm,Norm,1Fam,1.5Fin,6,5,1936,1950
408,Norm,Norm,1Fam,2Story,6,7,1915,1976
409,Norm,Norm,1Fam,2Story,7,5,2006,2006
410,Norm,Norm,1Fam,2Story,8,5,2007,2008
411,Norm,Norm,1Fam,1Story,5,3,1958,1958
412,Norm,Norm,2fmCon,1Story,5,5,1955,1955
413,Norm,Norm,1Fam,1Story,7,5,2009,2009
414,Artery,Norm,1Fam,1Story,5,6,1927,1950
415,Norm,Norm,1Fam,2Story,7,5,1993,1993
416,Norm,Norm,1Fam,1Story,7,5,2007,2007
417,Norm,Norm,1Fam,2Story,6,7,1978,1978
418,Feedr,Norm,1Fam,2Story,6,6,1918,1950
419,Norm,Norm,1Fam,1.5Fin,5,6,1940,1950
420,Norm,Norm,1Fam,1Story,5,6,1968,1968
421,Norm,Norm,Duplex,SFoyer,7,5,1997,1998
422,Norm,Norm,1Fam,1Story,6,7,1977,2000
423,Artery,Norm,1Fam,1Story,5,5,1954,1954
424,Norm,Norm,1Fam,2Story,8,5,1998,1998
425,Norm,Norm,1Fam,1Story,6,5,1956,1956
426,Norm,Norm,1Fam,2Story,7,8,1946,1992
427,Norm,Norm,1Fam,SLvl,7,5,1989,1989
428,Norm,Norm,1Fam,1Story,4,6,1957,1957
429,Norm,Norm,1Fam,1Story,7,5,2007,2007
430,Norm,Norm,1Fam,1Story,6,5,1988,1988
431,Norm,Norm,Twnhs,2Story,6,5,1971,1971
432,Feedr,Norm,1Fam,1.5Fin,6,7,1920,1998
433,Norm,Norm,TwnhsE,2Story,5,5,1971,1971
434,Norm,Norm,1Fam,2Story,6,5,1997,1998
435,Norm,Norm,Twnhs,SFoyer,4,7,1972,1972
436,PosN,Norm,1Fam,2Story,7,6,1996,1996
437,Norm,Norm,1Fam,1.5Fin,6,8,1920,1950
438,Norm,Norm,1Fam,1.5Unf,6,7,1926,2004
439,Norm,Norm,1Fam,1Story,5,6,1913,2002
440,Norm,Norm,1Fam,1.5Fin,6,8,1920,2000
441,Norm,Norm,1Fam,1Story,10,5,2008,2008
442,Norm,Norm,Duplex,1Story,4,4,1955,1955
443,Norm,Norm,1Fam,1.5Fin,5,7,1930,1992
444,Norm,Norm,TwnhsE,1Story,7,5,2006,2007
445,Norm,Norm,1Fam,2Story,7,5,1994,1995
446,Norm,Norm,1Fam,1Story,6,5,1956,1956
447,PosA,Norm,1Fam,1Story,6,6,1966,2002
448,Norm,Norm,1Fam,2Story,7,5,1998,1999
449,Norm,Norm,1Fam,1.5Fin,6,6,1937,1950
450,Norm,Norm,1Fam,1.5Fin,3,7,1948,2002
451,Norm,Norm,1Fam,1Story,6,8,1930,2005
452,Norm,Norm,1Fam,1Story,7,5,1975,1975
453,Norm,Norm,1Fam,2Story,6,5,1996,1997
454,Norm,Norm,1Fam,2Story,8,5,2008,2008
455,Norm,Norm,Duplex,1Story,5,5,1976,1976
456,Norm,Norm,1Fam,1Story,7,6,1973,1973
457,Norm,Norm,1Fam,2Story,5,5,1916,1950
458,Norm,Norm,1Fam,1Story,4,6,1954,1994
459,Norm,Norm,1Fam,2Story,8,7,1925,1996
460,Norm,Norm,1Fam,1.5Fin,5,4,1950,1950
461,RRAn,Norm,1Fam,2Story,8,5,2009,2009
462,Feedr,Norm,1Fam,2Story,7,9,1936,2007
463,Norm,Norm,1Fam,1Story,5,5,1965,1965
464,Norm,Norm,1Fam,2Story,6,7,1934,1995
465,Norm,Norm,1Fam,1Story,5,5,1978,1978
466,Norm,Norm,TwnhsE,1Story,7,5,2004,2004
