Id,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ThrSsnPorch,ScreenPorch
19,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,TA,TA,No,GLQ,646,Unf,0,468,1114,Detchd,2004,Unf,2,576,TA,TA,Y,0,102,0,0,0
20,Hip,CompShg,BrkFace,Plywood,None,0,TA,TA,CBlock,TA,TA,No,LwQ,504,Unf,0,525,1029,Attchd,1958,Unf,1,294,TA,TA,Y,0,0,0,0,0
21,Gable,CompShg,VinylSd,VinylSd,BrkFace,380,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1158,1158,BuiltIn,2005,RFn,3,853,TA,TA,Y,240,154,0,0,0
22,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,637,637,Attchd,1930,Unf,1,280,TA,TA,N,0,0,205,0,0
23,Hip,CompShg,VinylSd,VinylSd,BrkFace,281,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1777,1777,Attchd,2002,RFn,2,534,TA,TA,Y,171,159,0,0,0
24,Gable,CompShg,CemntBd,CmentBd,None,0,TA,TA,PConc,Gd,TA,No,GLQ,840,Unf,0,200,1040,Attchd,1976,Unf,2,572,TA,TA,Y,100,110,0,0,0
25,Gable,CompShg,Plywood,Plywood,None,0,TA,Gd,CBlock,TA,TA,Mn,Rec,188,ALQ,668,204,1060,Attchd,1968,Unf,1,270,TA,TA,Y,406,90,0,0,0
26,Gable,CompShg,VinylSd,VinylSd,Stone,640,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1566,1566,Attchd,2007,RFn,3,890,TA,TA,Y,0,56,0,0,0
27,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,TA,TA,Mn,BLQ,234,Rec,486,180,900,Detchd,2005,Unf,2,576,TA,TA,Y,222,32,0,0,0
28,Gable,CompShg,VinylSd,VinylSd,Stone,200,Gd,TA,PConc,Ex,TA,No,GLQ,1218,Unf,0,486,1704,Attchd,2008,RFn,3,772,TA,TA,Y,0,50,0,0,0
29,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,TA,TA,Gd,BLQ,1277,Unf,0,207,1484,Attchd,1957,RFn,1,319,TA,TA,Y,288,258,0,0,0
30,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,520,520,Detchd,1920,Unf,1,240,Fa,TA,Y,49,0,87,0,0
31,Gambrel,CompShg,BrkFace,BrkFace,None,0,TA,Fa,BrkTil,TA,TA,No,Unf,0,Unf,0,649,649,Detchd,1920,Unf,1,250,TA,Fa,N,0,54,172,0,0
32,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1228,1228,Attchd,1966,Unf,1,271,TA,TA,Y,0,65,0,0,0
33,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1234,1234,Attchd,2007,RFn,2,484,TA,TA,Y,0,30,0,0,0
34,Hip,CompShg,BrkFace,BrkFace,None,0,TA,TA,CBlock,TA,TA,No,Rec,1018,Unf,0,380,1398,Attchd,1959,RFn,2,447,TA,TA,Y,0,38,0,0,0
35,Hip,CompShg,MetalSd,MetalSd,BrkFace,246,Ex,TA,PConc,Ex,TA,No,GLQ,1153,Unf,0,408,1561,Attchd,2005,Fin,2,556,TA,TA,Y,203,47,0,0,0
36,Gable,CompShg,VinylSd,VinylSd,Stone,132,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1117,1117,BuiltIn,2004,Fin,3,691,TA,TA,Y,113,32,0,0,0
37,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1097,1097,Attchd,1995,Unf,2,672,TA,TA,Y,392,64,0,0,0
38,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650,TA,TA,CBlock,TA,TA,No,Rec,1213,Unf,0,84,1297,Attchd,1954,Fin,2,498,TA,TA,Y,0,0,0,0,0
39,Gable,CompShg,VinylSd,VinylSd,None,0,TA,Gd,CBlock,TA,TA,No,GLQ,731,Unf,0,326,1057,Detchd,1953,Unf,1,246,TA,TA,Y,0,52,0,0,0
40,Gable,CompShg,AsbShng,Plywood,None,0,TA,TA,PConc,NA,NA,NA,NA,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,N,0,0,0,0,0
41,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101,TA,TA,CBlock,TA,TA,No,Rec,643,Unf,0,445,1088,Attchd,1965,RFn,2,440,TA,TA,Y,0,138,0,0,0
42,Gable,CompShg,VinylSd,VinylSd,None,0,TA,Gd,CBlock,TA,TA,Gd,BLQ,967,Unf,0,383,1350,Attchd,1959,RFn,1,308,TA,TA,P,0,104,0,0,0
43,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,Gd,TA,Av,ALQ,747,LwQ,93,0,840,Attchd,1983,RFn,2,504,TA,Gd,Y,240,0,0,0,0
44,Hip,CompShg,VinylSd,VinylSd,None,0,TA,TA,CBlock,Gd,TA,Av,LwQ,280,BLQ,491,167,938,Detchd,1977,Unf,1,308,TA,TA,Y,145,0,0,0,0
45,Gable,CompShg,BrkFace,Wd Sdng,None,0,TA,TA,CBlock,TA,TA,No,ALQ,179,BLQ,506,465,1150,Attchd,1959,RFn,1,300,TA,TA,Y,0,0,0,0,0
46,Hip,CompShg,MetalSd,MetalSd,BrkFace,412,Ex,TA,PConc,Ex,TA,No,GLQ,456,Unf,0,1296,1752,Attchd,2005,RFn,2,576,TA,TA,Y,196,82,0,0,0
47,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Ex,TA,No,GLQ,1351,Unf,0,83,1434,Attchd,2003,RFn,2,670,TA,TA,Y,168,43,0,0,198
48,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,Av,GLQ,24,Unf,0,1632,1656,Attchd,2006,RFn,3,826,TA,TA,Y,0,146,0,0,0
49,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,736,736,NA,0,NA,0,0,NA,NA,N,0,0,102,0,0
50,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,No,BLQ,763,Unf,0,192,955,Attchd,1966,Unf,1,386,TA,TA,Y,0,0,0,0,0
51,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,Av,GLQ,182,Unf,0,612,794,Attchd,1997,Fin,2,388,TA,TA,Y,0,75,0,0,0
52,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,816,816,Detchd,1985,Unf,2,528,TA,TA,Y,112,0,0,0,0
53,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,Fa,TA,CBlock,Gd,TA,Gd,LwQ,104,GLQ,712,0,816,CarPort,1963,Unf,2,516,TA,TA,Y,106,0,0,0,0
54,Gable,WdShngl,WdShing,Wd Shng,None,0,Gd,TA,CBlock,Ex,TA,Gd,GLQ,1810,Unf,0,32,1842,Attchd,1981,Fin,3,894,TA,TA,Y,857,72,0,0,0
55,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,TA,TA,No,ALQ,384,Unf,0,0,384,Detchd,1962,Unf,2,572,TA,TA,Y,0,50,0,0,0
56,Gable,CompShg,HdBoard,Plywood,BrkFace,272,TA,TA,CBlock,TA,TA,No,BLQ,490,Unf,0,935,1425,Attchd,1964,RFn,2,576,TA,TA,Y,0,0,0,407,0
57,Gable,CompShg,MetalSd,MetalSd,BrkFace,456,Gd,TA,PConc,Gd,TA,No,GLQ,649,Unf,0,321,970,Attchd,1999,Fin,2,480,TA,TA,Y,115,0,0,0,0
58,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,860,860,Attchd,2004,RFn,2,565,TA,TA,Y,0,70,0,0,0
59,Hip,CompShg,VinylSd,VinylSd,BrkFace,1031,Ex,TA,PConc,Ex,TA,Gd,Unf,0,Unf,0,1410,1410,BuiltIn,2006,Fin,3,641,TA,TA,Y,192,0,37,0,0
60,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,Av,ALQ,632,Unf,0,148,780,Detchd,1973,Unf,1,352,TA,TA,Y,196,0,0,0,0
61,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,No,ALQ,941,Unf,0,217,1158,Detchd,2006,Unf,2,576,TA,TA,Y,0,50,0,0,0
62,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,BrkTil,TA,Fa,No,Unf,0,Unf,0,530,530,Detchd,1935,Unf,1,288,TA,TA,N,0,0,144,0,0
63,Gable,CompShg,VinylSd,VinylSd,Stone,178,Gd,TA,PConc,Gd,Gd,Mn,GLQ,24,Unf,0,1346,1370,Attchd,2006,RFn,2,484,TA,TA,Y,120,49,0,0,0
64,Gable,CompShg,Stucco,Stucco,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,576,576,Detchd,1990,Unf,2,480,TA,TA,Y,12,11,64,0,0
65,Gable,CompShg,VinylSd,VinylSd,BrkFace,573,TA,TA,PConc,Gd,TA,No,GLQ,739,Unf,0,318,1057,Attchd,1998,RFn,2,645,TA,TA,Y,576,36,0,0,0
66,Gable,CompShg,VinylSd,VinylSd,BrkFace,344,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1143,1143,BuiltIn,2004,RFn,3,852,TA,TA,Y,192,151,0,0,0
67,Gable,CompShg,Plywood,Plywood,BrkFace,287,TA,TA,CBlock,Gd,TA,Gd,GLQ,912,Unf,0,1035,1947,Attchd,1970,RFn,2,576,TA,TA,Y,301,0,0,0,0
68,Gable,CompShg,VinylSd,VinylSd,BrkFace,167,Gd,TA,PConc,Gd,TA,Av,GLQ,1013,Unf,0,440,1453,Attchd,2003,RFn,2,558,TA,TA,Y,144,29,0,0,0
69,Gable,CompShg,MetalSd,MetalSd,None,0,TA,Gd,CBlock,TA,TA,No,Unf,0,Unf,0,747,747,Attchd,1945,Unf,1,220,TA,TA,Y,0,0,0,0,0
70,Gable,CompShg,BrkFace,AsbShng,None,0,Gd,TA,CBlock,TA,TA,No,BLQ,603,Unf,0,701,1304,Attchd,1953,Fin,2,667,TA,TA,Y,0,21,114,0,0
71,Gable,CompShg,Plywood,Plywood,BrkFace,1115,TA,Gd,CBlock,Gd,TA,Gd,ALQ,1880,Unf,0,343,2223,Attchd,1973,Fin,2,516,TA,TA,Y,300,0,0,0,0
72,Gable,CompShg,HdBoard,Plywood,None,0,TA,TA,CBlock,TA,TA,No,ALQ,565,Unf,0,280,845,Detchd,1987,Unf,2,360,TA,TA,Y,0,0,0,0,0
73,Gable,CompShg,VinylSd,VinylSd,BrkFace,40,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,832,832,Attchd,1998,Fin,2,427,TA,TA,Y,0,94,0,0,291
74,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,104,TA,TA,CBlock,TA,TA,No,ALQ,320,BLQ,362,404,1086,Attchd,1989,Unf,2,490,TA,TA,Y,0,0,0,0,0
75,Gambrel,CompShg,VinylSd,VinylSd,None,0,Gd,Gd,CBlock,Fa,TA,No,Unf,0,Unf,0,840,840,Detchd,1915,Unf,1,379,TA,TA,Y,0,0,202,0,0
76,Gable,CompShg,CemntBd,CmentBd,None,0,TA,TA,CBlock,Gd,TA,Gd,GLQ,462,Unf,0,0,462,BuiltIn,1973,Unf,1,297,TA,TA,Y,120,101,0,0,0
77,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,CBlock,TA,TA,No,ALQ,228,Unf,0,724,952,Detchd,1956,Unf,1,283,TA,TA,Y,0,0,0,0,0
78,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,TA,TA,No,BLQ,336,GLQ,41,295,672,Detchd,1948,Unf,1,240,TA,TA,Y,0,0,0,0,0
79,Hip,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1768,1768,NA,0,NA,0,0,NA,NA,Y,0,0,0,0,0
80,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,440,440,Detchd,1966,Unf,2,440,TA,TA,Y,74,0,128,0,0
81,Gable,CompShg,VinylSd,VinylSd,BrkFace,576,TA,Gd,CBlock,Gd,TA,No,Rec,448,Unf,0,448,896,Attchd,1968,Fin,1,509,TA,TA,Y,0,72,0,0,252
82,Hip,CompShg,VinylSd,VinylSd,BrkFace,443,TA,Gd,PConc,Ex,Gd,No,GLQ,1201,Unf,0,36,1237,Attchd,1998,Fin,2,405,TA,TA,Y,0,199,0,0,0
83,Gable,CompShg,VinylSd,VinylSd,Stone,468,TA,TA,PConc,Gd,TA,No,GLQ,33,Unf,0,1530,1563,Attchd,2007,RFn,3,758,TA,TA,Y,144,99,0,0,0
84,Gable,CompShg,MetalSd,MetalSd,BrkCmn,66,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1065,1065,Detchd,1974,Unf,2,461,TA,TA,Y,74,0,0,0,0
85,Gable,CompShg,HdBoard,HdBoard,BrkFace,22,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,384,384,BuiltIn,1995,Fin,2,400,TA,TA,Y,120,72,0,0,0
86,Hip,CompShg,HdBoard,HdBoard,BrkFace,284,Gd,TA,CBlock,Gd,TA,No,Unf,0,Unf,0,1288,1288,Attchd,1991,Unf,2,462,TA,TA,Y,127,82,0,0,0
87,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,684,684,BuiltIn,2005,Fin,2,400,TA,TA,Y,100,38,0,0,0
88,Gable,CompShg,VinylSd,VinylSd,Stone,76,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,612,612,Detchd,2009,RFn,2,528,TA,TA,Y,0,234,0,0,0
89,Hip,CompShg,Plywood,Plywood,None,0,Fa,Fa,CBlock,TA,Fa,No,Unf,0,Unf,0,1013,1013,NA,0,NA,0,0,NA,NA,N,0,0,156,0,0
90,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,No,GLQ,588,Unf,0,402,990,NA,0,NA,0,0,NA,NA,Y,0,0,0,0,0
91,Gable,CompShg,BrkFace,Wd Sdng,None,0,TA,TA,Slab,NA,NA,NA,NA,0,NA,0,0,0,Detchd,1950,Unf,2,420,TA,TA,Y,0,29,0,0,0
92,Hip,CompShg,HdBoard,HdBoard,BrkCmn,203,TA,TA,CBlock,TA,TA,No,Rec,600,Unf,0,635,1235,Attchd,1961,Unf,2,480,TA,TA,Y,0,0,0,0,0
93,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,Gd,BrkTil,Gd,TA,No,ALQ,713,Unf,0,163,876,Detchd,1921,Unf,2,432,TA,TA,Y,0,0,44,0,0
94,Hip,CompShg,MetalSd,MetalSd,None,0,TA,TA,BrkTil,TA,Fa,Mn,Rec,1046,Unf,0,168,1214,Detchd,1900,Unf,2,506,TA,TA,Y,0,0,0,0,99
95,Gable,CompShg,VinylSd,VinylSd,None,0,TA,Gd,PConc,Gd,TA,No,GLQ,648,Unf,0,176,824,Attchd,1997,RFn,2,684,TA,TA,Y,0,162,0,0,0
96,Gable,CompShg,VinylSd,VinylSd,BrkFace,68,Ex,Gd,PConc,Gd,Gd,No,ALQ,310,Unf,0,370,680,BuiltIn,1993,Fin,2,420,TA,TA,Y,232,63,0,0,0
97,Gable,CompShg,VinylSd,VinylSd,BrkFace,183,Gd,TA,PConc,Gd,TA,Av,ALQ,1162,Unf,0,426,1588,Attchd,1999,RFn,2,472,TA,TA,Y,158,29,0,0,0
98,Hip,CompShg,HdBoard,HdBoard,BrkFace,48,TA,TA,CBlock,TA,TA,No,Rec,520,Unf,0,440,960,Attchd,1965,Fin,1,432,TA,TA,P,120,0,0,0,0
99,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,TA,TA,No,ALQ,108,Unf,0,350,458,Basment,1920,Unf,1,366,Fa,TA,Y,0,0,77,0,0
100,Gable,CompShg,Plywood,Plywood,None,0,TA,TA,CBlock,TA,TA,No,ALQ,569,Unf,0,381,950,NA,0,NA,0,0,NA,NA,Y,352,0,0,0,0
101,Gable,CompShg,Plywood,Plywood,BrkFace,28,TA,TA,PConc,TA,TA,Mn,ALQ,1200,Unf,0,410,1610,Attchd,1977,RFn,2,480,TA,TA,Y,168,68,0,0,0
102,Gable,CompShg,HdBoard,HdBoard,BrkFace,336,Gd,TA,CBlock,Gd,TA,No,Unf,0,Unf,0,741,741,Attchd,1985,Fin,2,476,TA,TA,Y,192,46,0,0,0
103,Gable,CompShg,HdBoard,HdBoard,None,0,TA,Fa,Slab,NA,NA,NA,NA,0,NA,0,0,0,Attchd,1979,Unf,2,410,TA,TA,Y,0,0,0,0,0
104,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1226,1226,Attchd,2009,RFn,3,740,TA,TA,Y,0,36,0,0,0
105,Gable,CompShg,Stucco,Stucco,BrkFace,600,TA,Fa,PConc,TA,TA,No,LwQ,224,Unf,0,816,1040,Detchd,1951,Unf,1,240,TA,TA,Y,0,0,0,0,184
106,Hip,CompShg,VinylSd,VinylSd,BrkFace,768,Gd,TA,PConc,Ex,TA,No,Unf,0,Unf,0,1053,1053,Attchd,2003,RFn,2,648,TA,TA,Y,140,45,0,0,0
107,Mansard,CompShg,VinylSd,VinylSd,None,0,TA,TA,BrkTil,Fa,TA,No,Unf,0,Unf,0,641,641,Detchd,1954,Unf,1,273,Fa,Fa,N,0,0,0,0,0
108,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,CBlock,TA,TA,No,ALQ,104,BLQ,169,516,789,Detchd,1948,Unf,1,250,TA,TA,Y,0,0,0,0,0
109,Gable,CompShg,CemntBd,CmentBd,None,0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,793,793,NA,0,NA,0,0,NA,NA,N,0,0,144,0,0
110,Hip,CompShg,Plywood,Plywood,BrkFace,480,TA,TA,CBlock,Gd,TA,No,BLQ,705,Unf,0,1139,1844,Attchd,1977,RFn,2,546,TA,TA,Y,0,122,0,0,0
111,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,TA,Fa,No,Rec,444,Unf,0,550,994,Attchd,1954,Unf,1,325,TA,TA,Y,182,0,0,0,0
112,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,No,GLQ,250,Unf,0,134,384,BuiltIn,2000,Fin,2,400,TA,TA,Y,180,0,0,0,0
113,Gable,CompShg,VinylSd,VinylSd,Stone,220,Gd,TA,PConc,Ex,TA,Av,GLQ,984,Unf,0,280,1264,BuiltIn,2007,Fin,3,792,TA,TA,Y,120,184,0,0,168
114,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,184,TA,Gd,CBlock,Gd,TA,Mn,ALQ,35,Rec,869,905,1809,Basment,1953,Unf,2,450,TA,TA,Y,166,120,192,0,0
115,Gambrel,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,TA,TA,No,ALQ,774,LwQ,150,104,1028,Detchd,1945,Unf,1,180,TA,TA,Y,224,0,0,0,0
116,Gable,CompShg,MetalSd,MetalSd,BrkFace,1129,TA,TA,PConc,Gd,TA,No,GLQ,419,Unf,0,310,729,Detchd,1999,Unf,2,440,TA,TA,Y,0,32,0,0,0
117,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,116,TA,TA,CBlock,TA,TA,No,LwQ,170,BLQ,670,252,1092,Attchd,1962,Unf,1,288,TA,TA,Y,0,20,144,0,0
118,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1125,1125,Attchd,2007,Unf,2,430,TA,TA,Y,80,64,0,0,0
119,Hip,CompShg,Plywood,Plywood,None,0,TA,TA,PConc,Gd,TA,Mn,GLQ,1470,Unf,0,203,1673,Attchd,1990,Unf,3,594,TA,TA,Y,367,0,0,0,0
120,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,728,728,Attchd,2005,Fin,2,390,TA,TA,Y,0,24,0,0,0
121,Flat,Metal,Plywood,Plywood,None,0,TA,TA,CBlock,TA,TA,Gd,ALQ,938,Unf,0,0,938,Attchd,1969,Unf,2,540,TA,TA,Y,0,130,0,130,0
122,Gable,CompShg,AsbShng,AsbShng,None,0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,732,732,Detchd,1979,Unf,1,264,TA,TA,P,0,0,140,0,0
123,Hip,CompShg,MetalSd,MetalSd,BrkFace,135,TA,Gd,CBlock,TA,TA,No,BLQ,570,Unf,0,510,1080,Attchd,1958,Unf,1,288,TA,TA,Y,0,0,0,0,130
124,Gable,CompShg,Plywood,Plywood,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,300,Unf,0,899,1199,Attchd,1993,RFn,2,530,TA,TA,Y,0,63,0,0,0
125,Gable,CompShg,HdBoard,HdBoard,None,0,TA,Gd,CBlock,Gd,Fa,No,Unf,0,Unf,0,1362,1362,Attchd,1979,Unf,2,435,TA,TA,Y,192,0,0,0,0
126,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,Fa,CBlock,TA,TA,Av,GLQ,490,Unf,0,30,520,NA,0,NA,0,0,NA,NA,N,53,0,0,0,0
127,Gable,CompShg,Plywood,Plywood,None,0,TA,TA,CBlock,Gd,TA,No,ALQ,120,Unf,0,958,1078,Attchd,1977,RFn,2,440,TA,TA,Y,0,205,0,0,0
128,Gable,CompShg,WdShing,Wd Sdng,None,0,TA,Gd,BrkTil,TA,TA,No,LwQ,116,Unf,0,556,672,NA,0,NA,0,0,NA,NA,N,0,0,0,0,0
129,Gable,CompShg,VinylSd,VinylSd,BrkFace,266,TA,TA,CBlock,TA,TA,No,BLQ,512,Unf,0,148,660,Attchd,1966,RFn,2,453,TA,TA,Y,188,108,0,0,0
130,Gable,CompShg,Plywood,Plywood,BrkFace,85,TA,TA,CBlock,TA,TA,No,Rec,567,BLQ,28,413,1008,2Types,1998,RFn,2,750,TA,TA,Y,0,80,0,180,0
131,Gable,CompShg,MetalSd,MetalSd,BrkFace,309,TA,TA,CBlock,TA,TA,No,Rec,445,Unf,0,479,924,Attchd,1966,Fin,2,487,TA,TA,Y,105,66,0,0,0
132,Gable,CompShg,VinylSd,VinylSd,BrkFace,40,Gd,TA,PConc,Gd,TA,No,GLQ,695,Unf,0,297,992,BuiltIn,2000,RFn,2,390,TA,TA,Y,24,48,0,0,0
133,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,TA,TA,No,Rec,405,Unf,0,658,1063,Detchd,1974,Unf,2,624,TA,TA,Y,0,0,0,0,0
